line,month,year,transport_type_id,transition_hour,number_of_passage,number_of_passenger,intensity
USKUDAR-ESATPASA,1,2021,1,13.592039800995025,1937,1926,0.9943211151264842
USKUDAR-FINDIKLI MAHALLESI,1,2021,1,14.00555041628122,121030,118990,0.9831446748739981
USKUDAR-GUZELTEPE-UMRANIYE DEVLET HASTANESI,1,2021,1,13.69823973176865,261331,255579,0.9779895993969334
USKUDAR-HEKIMBASI,1,2021,1,13.286052009456265,23374,23075,0.9872080088987765
USKUDAR-INKILAP MAH.,1,2021,1,13.536754507628292,11209,11114,0.9915246676777589
USKUDAR-KAVACIK-YENICAMII,1,2021,1,13.428139183055976,10219,10133,0.9915843037479205
USKUDAR-KIRAZLITEPE-FERAH MAH.,1,2021,1,13.654362416107382,74560,72460,0.9718347639484979
USKUDAR-MUSTAFA KEMAL MAH. YENISEHIR,1,2021,1,13.240896358543417,18412,18186,0.9877253964805561
USKUDAR-ORTAKOY,1,2021,3,14.427184466019416,385,382,0.9922077922077922
USKUDAR-RASATHANE,1,2021,1,13.36139896373057,22288,22042,0.9889626704953338
USKUDAR-S.GAZI EMEK MAH,1,2021,1,13.053268765133172,18843,18561,0.9850342302181181
USKUDAR-SENEVLER,1,2021,1,13.279672578444748,15646,15503,0.9908602837786016
USKUDAR-SOFULAR KOYU,1,2021,1,13.350393700787402,2200,2114,0.9609090909090909
USKUDAR-SOGUKSU MAHALLESI,1,2021,1,13.832395950506188,37516,36957,0.9850996907985926
USKUDAR-SULTANMURAT MAH,1,2021,1,13.70646221248631,25384,25166,0.9914119130160731
USKUDAR-TUFAN MAHALLESI,1,2021,1,13.642857142857142,14129,13951,0.9874017977209993
USKUDAR-TURKIS BLOKLARI,1,2021,1,13.36036036036036,19418,19163,0.9868678545679267
USKUDAR-UNALAN MAHALLESI,1,2021,1,13.359612724757952,21737,21455,0.9870267286194047
USKUDAR-USKUDAR DEVLET HASTANESI,1,2021,1,13.025210084033612,3362,3302,0.982153480071386
USKUDAR-YAVUZTURK MAHALLESI,1,2021,1,13.59862385321101,42473,41923,0.9870505968497634
USKUDAR-YENI MAHALLE,1,2021,1,13.987060998151572,46581,45871,0.9847577338399777
USTBOSTANCI-TAKSIM,1,2021,1,13.540856031128405,53964,53078,0.9835816470239419
UZUNDERE-KOZYATAGI,1,2021,1,13.443019943019944,15188,14961,0.985053989992099
V.KARANI-YAKACIK-KARTAL,1,2021,1,13.614832535885167,32656,32105,0.9831271435570799
VEYSEL KARANI / SAMANDIRA - KOZYATAGI METRO,1,2021,1,12.770290964777947,24812,24501,0.987465742382718
VEYSEL KARANI MAH.- 4.LEVENT METRO,1,2021,1,13.865350089766606,11196,11056,0.9874955341193283
VEYSEL KARANI-METRO-CEVIZLI,1,2021,1,13.50817438692098,19270,18970,0.9844317592112092
VEYSEL KARANI-SAMANDIRA-KADIKOY,1,2021,1,13.760042283298096,41070,40264,0.9803749695641587
VEZNECILER - SISLI,1,2021,1,13.415795586527294,83681,81259,0.9710567512338524
VEZNECILER- YAYLA MAHALLESI,1,2021,1,13.812865497076023,56072,54747,0.9763696675702668
Y.KADIKOY-EMINONU,1,2021,3,13.74557522123894,69528,67482,0.9705730065585088
Y.KADIKOY-KARAKOY,1,2021,3,13.766153846153848,32457,30295,0.9333887913239055
Y.TEPE UNV.- ATASEHIR- TAKSIM,1,2021,1,13.0,3405,3370,0.9897209985315712
YALIKOY-CATALCA,1,2021,1,13.060948081264108,9924,9285,0.9356106408706167
YASIOREN-ARNAVUTKOY,1,2021,1,12.532033426183844,2729,2631,0.9640894100403078
YAVUZTURK MAH.-UMRANIYE-EMEK MAH.,1,2021,1,12.075539568345324,5784,5739,0.9922199170124482
YAYALAR MAH.-MARMARA UNIV.HST.-KARTAL METRO,1,2021,1,13.046948356807512,6102,6041,0.9900032776138971
YEDIKULE - EMINONU,1,2021,1,12.617647058823527,4508,4436,0.9840283939662822
YEDIKULE - TAKSIM,1,2021,1,13.891148325358852,41578,40488,0.9737842128048487
YEDITEPE UNIV./FINDIKLI MAHALLESI - KOZYATAGI METRO,1,2021,1,11.026666666666667,1771,1757,0.9920948616600791
YEDITEPE UNV-FINDIKLI MAH-MALTEPE-CEVIZLI,1,2021,1,13.933333333333334,58273,57208,0.9817239544900725
YENI MAHALLE-GOZTEPE METRO,1,2021,1,13.761904761904765,8808,8689,0.9864895549500454
YENI MAHALLE-KADIKOY,1,2021,1,13.735294117647058,1338,1321,0.9872944693572496
YENIBOSNA (KUYUMCUKENT) - BAKIRKOY,1,2021,1,13.543560606060606,121411,118620,0.9770119676141371
YENIBOSNA (KUYUMCUKENT) - EMINONU,1,2021,1,13.516227180527384,75666,73887,0.976488779636825
YENIBOSNA (KUYUMCUKENT) - YENIKAPI,1,2021,1,13.87344028520499,132514,129453,0.9769005539037384
YENIBOSNA METRO - EMINONU,1,2021,1,13.248054474708171,97939,95892,0.9790992352382606
YENIBOSNA METRO - IKITELLI OSB - BASAKSEHIR METROKENT,1,2021,1,12.3954802259887,3050,2993,0.9813114754098361
YENIBOSNA METRO-ARNAVUTKOY,1,2021,1,13.301665034280118,48716,47455,0.9741152804006897
YENIBOSNA METRO-KAZLICESME,1,2021,1,13.64503441494592,38728,37975,0.980556703160504
YENIBOSNA METRO-KUYUMCUKENT,1,2021,1,12.93886462882096,38479,38048,0.9887990852153122
YENIBOSNA METRO-YESILKOY-AKVARYUM,1,2021,1,12.165165165165163,4854,4809,0.9907292954264524
YENIBOSNAMETRO-TAKSIM,1,2021,1,13.4555659494855,133905,130899,0.9775512490198275
YENIDOGAN - AYRILIKCESME,1,2021,1,13.45909645909646,44592,44015,0.9870604592752064
YENIDOGAN - KAYISDAGI,1,2021,1,13.2920892494929,10436,10274,0.9844768110387121
YENIDOGAN - MECIDIYEKOY,1,2021,1,13.7603550295858,89254,87459,0.9798888565218365
YENIDOGAN PERONLAR/ ADIL MAH. - CEVIZLI,1,2021,1,12.836879432624114,8033,7933,0.9875513506784513
YENIDOGAN-ALTUNIZADE METROBUS,1,2021,1,13.334085778781038,50775,50027,0.9852683407188577
YENIDOGAN-AYRILIKCESME,1,2021,1,13.701910828025476,29248,28688,0.9808533916849015
YENIDOGAN-KOZYATAGI METRO,1,2021,1,12.85576923076923,7031,6954,0.9890484995022045
YENIDOGAN-MARMARA UNIVERSITESI BASIBUYUK KAMPUSU,1,2021,1,13.182481751824817,6567,6446,0.981574539363484
YENIDOGAN-SAMANDIRA-KADIKOY,1,2021,1,13.59441489361702,16192,15904,0.9822134387351779
YENIDOGAN-SAMANDIRA-USKUDAR,1,2021,1,13.70203488372093,12256,12078,0.985476501305483
YENIDOGAN-SULTANBEYLI,1,2021,1,13.064516129032258,8058,7856,0.9749317448498387
YENIDOGAN-TASDELEN-YAMANEVLER METRO,1,2021,1,13.629349470499244,12447,12253,0.9844139149995983
YENIDOGAN-TOPKAPI KALEICI,1,2021,1,13.337110481586402,95480,93787,0.9822685379136992
YENIKAPI - HACIOSMAN,1,2021,2,13.295967741935485,4320628,4218536,0.9763710275450699
YENIKAPI - HAVALIMANI,1,2021,2,13.326332794830371,4507727,4374595,0.9704658245718962
YENIKAPI - SISLI,1,2021,1,13.95086705202312,131745,127429,0.967239743443774
YENIKAPI-MECIDIYEKOY,1,2021,1,7.555555555555555,235,230,0.9787234042553191
YENIKOY-BEYKOZ,1,2021,3,13.217241379310344,12702,12548,0.987875925051173
YENIKOY-KARABURUN-MESCIDI SELAM,1,2021,1,13.346072186836516,39711,38460,0.9684973936692604
YENIMAHALLE METRO-ZEYTINBURNU,1,2021,1,13.886363636363637,24681,24465,0.9912483286738787
YENISEHIR- PENDIK METRO / PENDIK YHT,1,2021,1,13.99436936936937,44982,44162,0.9817704859721667
YENISEHIR-KARTAL METRO,1,2021,1,13.79649464459591,50852,49962,0.9824982301581059
YENISEHIR-MARMARA UNI.-KARTAL METRO/CEVIZLI PERONLAR,1,2021,1,13.423603793466809,58187,56957,0.9788612576692388
YENISEHIR-PENDIK METRO,1,2021,1,13.778723404255318,2657,2630,0.9898381633421152
YESILBAGLAR-CEVIZLI,1,2021,1,13.704488778054865,21662,21402,0.9879974148278091
YESILKENT - AVCILAR METROBUS,1,2021,1,13.81267738883633,133302,128616,0.9648467389836611
YESILKENT MAH. - CUMHURIYET MAH. METROBUS,1,2021,1,13.40084388185654,4528,4452,0.9832155477031802
YESILKENT- AVCILAR METROBUS,1,2021,1,13.425959780621572,119037,115155,0.9673882910355603
YESILKOY - TAKSIM,1,2021,1,13.495901639344265,88831,86940,0.9787123864416701
YESILKOY – TAKSIM ,1,2021,1,12.637931034482758,2750,2725,0.990909090909091
YESILPINAR - GOKTURK,1,2021,1,13.003225806451614,5767,5678,0.9845673660482053
YESILPINAR - SISLI,1,2021,1,13.748868778280542,25645,25194,0.9824137258724898
YESILPINAR - VEZNECILER,1,2021,1,14.051470588235292,48317,47372,0.9804416664941946
YESILPINAR - YENIKAPI,1,2021,1,14.122448979591836,46288,45407,0.9809669892844798
YESILPINAR MAH.EMINONU,1,2021,1,14.121387283236997,35773,35055,0.9799289967293769
YESILPINAR-4.LEVENT-ZINCIRLIKUYU METROBUS,1,2021,1,13.977948226270374,73111,71837,0.9825744416024949
YESILPINAR-BAKIRKOY,1,2021,1,13.911848341232227,87255,85888,0.984333276030027
YESILPINAR-EMINONU,1,2021,1,13.88108108108108,19900,19529,0.981356783919598
YESILPINAR-OTOGAR,1,2021,1,13.688397790055248,32570,31785,0.9758980657046362
YESILTEPE-CEKMEKOY-KARTAL,1,2021,1,12.937212863705971,12193,12059,0.9890100877552694
YESILTEPE-MARMARA EGITIM KOYU,1,2021,1,14.38118811881188,1476,1470,0.9959349593495935
YUNUS EMRE MAHALLESI - BASAKSEHIR METROKENT,1,2021,1,13.387130801687764,117678,115326,0.980013256513537
YUNUS EMRE MAHALLESI - BEYAZIT,1,2021,1,13.488423373759646,53435,52166,0.9762515205389726
YUNUS EMRE MAHALLESI - EMINONU,1,2021,1,13.8256611165524,73092,70988,0.9712143599846769
YUNUS EMRE MAHALLESI-TOPKAPI,1,2021,1,13.850937808489634,68533,67522,0.9852479827236513
YUNUS EMRE MAHALLESI-VEZNECILER,1,2021,1,13.691123188405795,229368,223539,0.9745866903840117
YUNUS EMRE MAHALLESI-YENIKAPI,1,2021,1,14.002061855670105,48320,47414,0.98125
YUNUS EMRE MAHALLESI. - SISLI,1,2021,1,13.956713780918728,104030,101854,0.9790829568393733
YUNUS EMRE/GAZI MAH.-KAZIM KARABEKIR METRO,1,2021,1,14.64855687606112,6732,6616,0.9827688651218063
YUNUSEMRE MAH.-BARAJ YOLU-SISLI,1,2021,1,13.384868421052632,63110,62138,0.9845983203929647
YUNUSEMRE MH.-MECIDIYEKOY,1,2021,1,12.84375,4048,4039,0.9977766798418972
YUZYIL MAH. - BAKIRKOY,1,2021,1,14.024886877828054,33399,32731,0.979999401179676
YUZYIL MH.-EMINONU,1,2021,1,13.605793450881611,21442,20705,0.9656282063240369
ZEYTINBURNU - BEYAZIT,1,2021,1,13.228536880290203,65507,63945,0.9761552200528187
ZEYTINBURNU - MECIDIYEKOY,1,2021,1,13.92932187201528,140404,137387,0.9785120082048945
ZEYTINBURNU-EMINONU,1,2021,1,13.31931818181818,55605,54201,0.9747504720798489
ZEYTINBURNU-KAZLICESME,1,2021,1,13.792990142387731,25952,25735,0.9916384093711468
ZEYTINBURNU-TAKSIM,1,2021,1,13.624197983501375,138767,134909,0.9721980009656475
ZINCIRLIKUYU-SOGUTLUCESME,1,2021,1,13.06959706959707,2411,2345,0.9726254666113646
ZUBEYDE HANIM MAHALLESI-BEYAZIT,1,2021,1,13.323995127892813,23287,22960,0.9859578305492335
ZUMRUTEVLER - HUZUREVI-MALTEPE,1,2021,1,13.872916666666669,48808,48211,0.9877683986231766
 EMINONU-OKMEYDANI,3,2021,1,13.461293743372217,61637,61452,0.9969985560621055
 KARTAL-AYDOS HILAL KONUTLARI,3,2021,1,13.984725050916497,51413,51169,0.9952541186081342
A.YESEVI MAH-UMRANIYE,3,2021,1,13.263779527559056,20631,20603,0.9986428190586981
ACARLAR SITESI / ATASEHIR - USKUDAR,3,2021,1,13.7601977750309,20007,19965,0.99790073474284
ADALAR,3,2021,3,12.830296127562642,174875,174507,0.9978956397426734
ADALAR-BOSTANCI,3,2021,3,13.628453038674031,18104,18070,0.9981219619973487
ADALAR-KABATAS,3,2021,3,13.217842323651452,67154,67073,0.9987938171962951
ADEM YAVUZ MAH-ZIVERBEY-KADIKOY,3,2021,1,13.63477537437604,458038,455115,0.9936184334050887
AGACLI KOYU-KEMERBURGAZ,3,2021,1,13.260143198090692,4327,4321,0.9986133579847469
AKCABURGAZ-I.U.AVCILAR KAMPUSU,3,2021,1,13.753048780487806,15230,15186,0.9971109652002627
AKFIRAT-KARTAL,3,2021,1,13.579297245963913,152848,152113,0.9951913011619387
AKPINAR KOYU-ARNAVUTKOY PERONLAR,3,2021,1,13.464367816091954,20660,20621,0.9981122942884801
AKSEMSETTIN  - SISLI,3,2021,1,13.60204081632653,29893,29832,0.9979593884855986
AKSEMSETTIN - VEZNECILER,3,2021,1,13.37378640776699,9033,9014,0.9978966013506033
AKSEMSETTIN MAH. - EMINONU,3,2021,1,13.55123339658444,156354,155765,0.99623290737685
AKSEMSETTIN MAHALLESI -  YENIKAPI,3,2021,1,14.207006369426752,38536,38434,0.997353124351256
ALEMDAR-HALICIOGLU,3,2021,1,13.58963466440102,298070,296748,0.9955648002147147
ALEMDAR-ZIVERBEY-KADIKOY,3,2021,1,13.59047619047619,37593,37538,0.9985369616683957
ALIBAHADIR-ZERZEVATCI-KAVACIK,3,2021,1,13.280254777070065,16641,16612,0.9982573162670513
ALIBEYKOY CEP OTOGARI - YENIKAPI,3,2021,1,13.81526717557252,9907,9892,0.9984859190471383
ALTUNIZADE-ATASEHIR-USTBOSTANCI,3,2021,1,11.393034825870648,1824,1822,0.9989035087719298
ALTUNIZADE-BIRLIK MAHALLESI,3,2021,1,12.589887640449438,6070,6066,0.9993410214168039
ALTUNIZADE-KAZIM KARABEKIR MAH.,3,2021,1,12.828092243186584,8296,8273,0.9972275795564127
ALTUNIZADE-SULTANBEYLI,3,2021,1,13.12936507936508,642539,639025,0.994531071265713
ARNAVUTKOY - MECIDIYEKOY,3,2021,1,13.98964218455744,92893,92770,0.9986758959232666
ARNAVUTKOY-EMINONU,3,2021,1,13.871313672922252,198692,198107,0.9970557445694844
ATAKENT MAH. - MECIDIYEKOY,3,2021,1,13.371747211895912,3042,3037,0.9983563445101906
ATAKENT MAHALLESI - YENIBOSNA METRO,3,2021,1,13.77496839443742,21166,21141,0.9988188604365492
ATAKENT MAHALLESI- BAKIRKOY,3,2021,1,13.849598163031,35099,35044,0.9984330037892818
ATAKENT MAHALLESI- TAKSIM,3,2021,1,13.7401185770751,59272,59208,0.9989202321500877
ATAKENT MAHALLESI-AKSARAY,3,2021,1,13.806358381502893,42511,42454,0.9986591705676178
ATAKENT-AKSARAY,3,2021,1,14.054464285714284,163386,162918,0.997135617494767
ATAKOY - TAKSIM,3,2021,1,13.372143634385202,29712,29658,0.9981825525040388
ATAKOY METRO - ACIL DURUM HASTANESI,3,2021,1,13.890329012961116,42665,42230,0.989804289230048
ATESTUGLA - BAKIRKOY,3,2021,1,13.700716845878135,101678,101269,0.9959774975904325
ATESTUGLA - BEYAZIT,3,2021,1,14.101860053144376,178315,177570,0.9958220003925637
ATESTUGLA - EMINONU,3,2021,1,14.065884476534295,86591,86361,0.9973438348096223
ATESTUGLA - KIRAZLI - BEYAZIT,3,2021,1,9.946078431372548,4759,4754,0.9989493591090566
ATESTUGLA - MECIDIYEKOY,3,2021,1,13.7946735395189,236370,235543,0.996501248043322
ATESTUGLA DEMIRKAPI MH.- BEYAZIT,3,2021,1,14.110910730387737,149252,148828,0.9971591670463378
ATISALAN KOYICI-EMINONU,3,2021,1,12.464831804281346,5971,5969,0.9996650477306984
AVCILAR CIHANGIR MAH. - BAKIRKOY,3,2021,1,13.416164053075995,20388,20358,0.9985285462036492
AVCILAR-SOGUTLUCESME,3,2021,1,12.981292517006803,3009,2982,0.9910269192422732
AVCILAR-ZINCIRLIKUYU,3,2021,1,11.5,13914237,13777861,0.9901988157884618
AYAZAGA GARAJI-4.LEVENT METRO,3,2021,1,13.68625,8616,8599,0.9980269266480966
AYAZAGA KOYU-ISTINYE-SARIYER,3,2021,1,13.96432111000991,130638,130229,0.9968692111024358
AYAZAGA KOYU-KAGITHANE-YENIKAPI,3,2021,1,14.147233201581027,113318,113091,0.9979967878007024
AYAZAGA KOYU-MASLAK,3,2021,1,9.629032258064516,827,827,1.0
AYAZAGAKOYU - KABATAS,3,2021,1,13.965425531914894,225458,224694,0.9966113422455624
AYAZAGAKOYU-DAVUTPASA-YTU KAMPUSU,3,2021,1,14.250222617987534,198913,198324,0.9970389064565915
AYAZMA SITESI - MAHMUTBEY METRO,3,2021,1,12.625,3401,3399,0.9994119376653925
AYDINLI BAHCELER - KARTAL,3,2021,1,12.129310344827584,7347,7327,0.9972778004627739
AYDINLI TOKI-KARTAL METRO,3,2021,1,13.89382940108893,247403,246044,0.9945069380726992
BAGCILAR DEV.HST./CINCINDERE CAD.-MECIDIYEKOY,3,2021,1,13.39323220536756,26924,26874,0.9981429208141435
BAHCEKENT-BAHCESEHIR-ISPARTAKULE-HALKALI ISTASYONU,3,2021,1,13.314878892733564,16743,16707,0.9978498476975453
BAHCEKOY-4.LEVENT METRO,3,2021,1,12.91891891891892,10220,10215,0.9995107632093934
BAHCEKOY-HACIOSMAN METRO,3,2021,1,14.118595825426944,90924,90613,0.9965795609520038
BAHCEKOY-SARIYER,3,2021,1,14.391447368421051,7610,7561,0.9935611038107753
BAHCEKOY-TAKSIM,3,2021,1,14.123927550047664,73263,73106,0.9978570356114274
BAHCESEHIRI / ESENKENT - TAKSIM,3,2021,1,13.308064516129033,261183,260263,0.996477565538339
BAKIRKOY - BEYAZIT,3,2021,1,12.866035182679296,12988,12968,0.9984601170311056
BALABAN KOYU-BAYRAMPASA METRO,3,2021,1,13.197594501718212,7194,7165,0.99596886294134
BARBAROS-E.KADIKOY,3,2021,3,14.390125847047434,109025,108978,0.999568906214171
BASAKSEHIR 4 -1. ETAPLAR - TAKSIM,3,2021,1,13.521991701244811,260399,259731,0.997434705970453
BASAKSEHIR 4.ETAP - BAKIRKOY,3,2021,1,13.69341216216216,276162,275335,0.9970053808996169
BASAKSEHIR 4.ETAP - EMINONU,3,2021,1,13.909090909090908,106970,106832,0.9987099186687857
BASAKSEHIR 4.ETAP-KAYABASI KIPTAS KONUTLARI,3,2021,1,13.79843444227006,35286,35211,0.9978745111375616
BASAKSEHIR 4.ETAP-Z.BURNU METRO,3,2021,1,13.647277227722771,19088,19057,0.9983759430008382
BASAKSEHIR METROKENT - BAKIRKOY,3,2021,1,13.839860748476935,232525,231880,0.9972261047199226
BASAKSEHIR METROKENT - SEHIR HASTANESI,3,2021,1,13.260964912280702,37624,37462,0.9956942377206038
BASAKSEHIR METROKENT – EMINONU,3,2021,1,12.30632911392405,12750,12739,0.9991372549019608
BASAKSEHIR METROKENT-EMINONU,3,2021,1,14.093666369313114,238271,237460,0.9965963126020372
BASAKSEHIR METROKENT-KARTALTEPE,3,2021,1,13.305325443786982,78300,78166,0.9982886334610472
BASAKSEHIR METROKENT-MECIDIYEKOY,3,2021,1,12.23,1020,1020,1.0
BASIBUYUK SAGLIK KAMPUSU - KUCUKYALI METRO,3,2021,1,12.86980108499096,6182,6168,0.9977353607246846
BASIBUYUK-SUREYYAPASA HTS.-MALTEPE,3,2021,1,14.134492223238793,79651,79191,0.9942248057149314
BASIN TESISLERI-Y.BOSNA METRO,3,2021,1,13.444692737430168,44914,44845,0.9984637306853097
BASINSITESI - EMINONU,3,2021,1,13.765609990393852,77003,76863,0.998181889017311
BASINSITESI - TAKSIM,3,2021,1,13.979981801637852,75213,75123,0.9988033983486897
BATI ATASEHIR / KUCUKBAKKALKOY - KADIKOY,3,2021,1,13.911335578002245,17606,17566,0.997728047256617
BATISEHIR-FATIH MAHALLESI,3,2021,1,12.835570469798656,1210,1210,1.0
BATISEHIR-KOCATEPE METRO,3,2021,1,13.027173913043478,6828,6824,0.9994141769185706
BATISEHIR-YENIBOSNA METRO,3,2021,1,12.410714285714286,10068,10062,0.9994040524433849
BAYRAMPASA-YENI MAHALLE/G.O.P DEVLET HASTANESI,3,2021,1,14.037037037037036,336,334,0.9940476190476191
BEREKET SITESI - DARLIK,3,2021,1,13.064864864864864,2751,2746,0.9981824790985097
BESIKTAS - KURUCESMEUSTU,3,2021,1,13.107988165680473,7732,7726,0.9992240041386445
BESIKTAS - MECIDIYEKOY,3,2021,1,14.041329739442949,416334,414290,0.9950904802394231
BESIKTAS ULUS-ZINCIRLIKUYU-BESIKTAS,3,2021,1,13.801063829787234,39927,39864,0.9984221203696747
BESIKTAS-ADALAR,3,2021,3,13.115168539325843,3931,3928,0.999236835410837
BESIKTAS-AYAZAGA,3,2021,1,13.62063227953411,10055,10039,0.9984087518647439
BESIKTAS-Z.KUYU-ULUS-BESIKTAS,3,2021,1,13.51907514450867,50022,49931,0.998180800447803
BEYKOZ-MECIDIYEKOY,3,2021,1,13.816079295154186,82029,81855,0.9978787989613429
BEYKOZ-YENIKOY,3,2021,3,12.915,19825,19818,0.9996469104665826
BEYLIKDUZU - BAKIRKOY,3,2021,1,13.665977249224406,30345,30291,0.9982204646564509
BEYLIKDUZU - CEVIZLIBAG,3,2021,1,13.347826086956522,734,729,0.9931880108991825
BEYLIKDUZU-TAKSIM(CIFT KATLI),3,2021,1,13.728205128205127,34767,34726,0.9988207207984583
BEYOGLU-TAKSIM,3,2021,2,13.53768115942029,9862,9723,0.9859054958426283
BEZIRGANBAHCE TOKI-SEFAKOY METROBUS,3,2021,1,14.04,6127,6116,0.9982046678635548
BINEVLER - EMINONU,3,2021,1,14.28018018018018,158099,157308,0.9949968057988982
BINEVLER - MASLAK,3,2021,1,14.054665409990577,97415,97213,0.997926397372068
BINEVLER-YENIKAPI,3,2021,1,11.805970149253731,8893,8870,0.9974136961655234
BINKILIC-CATALCA,3,2021,1,12.705882352941176,10213,10195,0.9982375403896994
BIZIMEVLER-ISPARTAKULE-YENIKAPI,3,2021,1,13.689256198347108,7485,7479,0.9991983967935871
BOGAZ,3,2021,3,13.654994850669413,181836,181430,0.9977672188125564
BOGAZKOY MAH.- AVCILAR METROBUS,3,2021,1,13.753521126760564,199600,198792,0.9959519038076152
BOGAZKOY MH.-BAHCESEHIR-BAKIRKOY,3,2021,1,13.430317848410755,448630,446954,0.9962641820653991
BOGAZKOY-BAHCESEHIR-OLIMPIYATKOY METRO,3,2021,1,13.647810218978105,58464,58390,0.9987342638204707
BOGAZKOY-BAHCESEHIR-TAKSIM,3,2021,1,14.03088803088803,48284,48228,0.9988401955098998
BOGAZKOY-BAHCESEHIR-YENIKAPI,3,2021,1,13.737403100775191,159301,159017,0.9982172114424894
BOSTANCI - S.GOKCEN HAVALIMANI,3,2021,1,13.627677100494234,34345,34211,0.9960984131605765
BOSTANCI-ADALAR,3,2021,3,13.69193742478941,16483,16465,0.9989079657829278
BOSTANCI-KARAKOY,3,2021,3,10.36322869955157,3610,3610,1.0
BOSTANCI-U.MUMCU MAH,3,2021,1,13.732142857142858,53633,53377,0.9952268193090075
BURHANIYE MAH. - USKUDAR,3,2021,1,13.501160092807424,9887,9851,0.9963588550622029
BUYUKCEKMECE - I.U. AVCILAR KAMPUSU,3,2021,1,13.92170818505338,14802,14714,0.9940548574516958
BUYUKCEKMECE-BAKIRKOY,3,2021,1,11.604166666666666,645,643,0.9968992248062015
CAGDASKENT/ SEKERPINAR MAH. - KARTAL,3,2021,1,13.576086956521738,47660,47578,0.9982794796475032
CAGLAYAN - EMINONU,3,2021,1,14.13075506445672,118909,118580,0.9972331783128274
CAGLAYAN-TOPKAPI,3,2021,1,14.188817598533456,93977,93717,0.9972333656107345
CAKMAK MAH.-YENIHISAR-KADIKOY,3,2021,1,12.305147058823527,2245,2241,0.998218262806236
CAMLICA CAMII - BULGURLU METRO - GOZTEPE KOPRUSU,3,2021,1,12.099489795918368,4150,4145,0.9987951807228915
CAMLIK HAM.- PENDIK METRO / PENDIK YHT,3,2021,1,14.078268876611418,79835,79566,0.9966305505104277
CAMLIK-AYRILIKCESME,3,2021,1,12.92733017377567,12099,12087,0.999008182494421
CARSI-AKCAKOCA-ITFAIYE,3,2021,1,14.56156156156156,2048,1994,0.9736328125
CARSI-CAM LIMANI,3,2021,1,14.086666666666666,1009,967,0.958374628344896
CARSI-KALPAZANKAYA,3,2021,1,14.894080996884735,1559,1544,0.9903784477228993
CARSI-MADEN-NIZAM,3,2021,1,14.070588235294116,18345,17731,0.966530389751976
CARSI-NARCICEGI,3,2021,1,14.854166666666666,796,791,0.9937185929648241
CARSI-TEPEKOY-KADIYORAN,3,2021,1,14.43867924528302,5316,5276,0.9924755455229496
CATALCA-AVCILAR METROBUS,3,2021,1,13.040688575899845,237317,235495,0.9923225053409575
CAVUSPASA - BEYAZIT,3,2021,1,13.689497716894977,48207,48088,0.9975314788308752
CAVUSPASA-ZEYTINBURNU METRO,3,2021,1,13.293193717277488,19766,19702,0.9967621167661641
CEBECI - TAKSIM,3,2021,1,13.854095563139932,273679,272570,0.9959478074678729
CEBECI MAH-ISTIKLAL MAH-BOGAZKOY,3,2021,1,13.439724454649827,34276,34172,0.9969658069786439
CEBECI MAH. - MECIDIYEKOY,3,2021,1,12.639308855291576,9546,9531,0.9984286612193589
CEBECI MAHALLESI - EMINONU,3,2021,1,13.907423580786029,223796,222957,0.9962510500634506
CEBECI MAHALLESI - VEZNECILER,3,2021,1,13.933781190019191,43602,43500,0.9976606577679923
CEBECI MAHALLESI - Y.BOSNA METRO,3,2021,1,13.45707656612529,21950,21899,0.9976765375854214
CEBECI MAHALLESI-BOGAZKOY-ENSAR MAHALLESI,3,2021,1,13.46553966189857,14399,14367,0.9977776234460727
CEBECI MAHALLESI-BOLLUCA-ENSAR MAHALLESI,3,2021,1,13.992647058823527,66333,66107,0.9965929477032548
CEBECI MAHALLESI-MECIDIYEKOY,3,2021,1,13.863387978142075,29154,29090,0.9978047609247445
CEBECI MAHALLESI-TASOLUK-HARACCI,3,2021,1,13.565415244596132,32954,32813,0.9957213084906233
CEBECI PERONLAR - SISLI,3,2021,1,13.866079295154185,174184,173509,0.9961247875809489
CEBECI_YENIKAPI,3,2021,1,13.425061425061426,7273,7266,0.9990375360923965
CEBECL PERONLAR-FENERTEPE-OLIMPIYATKOY METRO,3,2021,1,13.971163748712668,24758,24709,0.9980208417481218
CEKMEKOY - MECIDIYEKOY,3,2021,1,13.188630490956072,10339,10329,0.9990327884708385
CEKMEKOY-ALEMDAR NISANTEPE,3,2021,1,13.639175257731958,9591,9581,0.9989573558544469
CEKMEKOY-YAMANEVLER METRO,3,2021,1,13.471801925722144,11992,11926,0.9944963308872582
CEKMEKOY/SAMANDIRA-KARTAL,3,2021,1,13.702960840496656,86879,86709,0.9980432555623339
CEVATPASA - BEYAZIT,3,2021,1,13.662650602409638,36057,35937,0.9966719361011731
CEVATPASA - TAKSIM,3,2021,1,14.115866388308977,57208,57008,0.9965039854565795
CEVATPASA MAHALLESI - MECIDIYEKOY,3,2021,1,13.857294994675186,38821,38742,0.9979650189330517
CEVATPASA-EMINONU,3,2021,1,13.845405405405405,52047,51874,0.996676081234269
CEVIZLIBAG - ISTANBUL HAVALIMANI,3,2021,1,13.62152777777778,4953,4942,0.9977791237633757
CEVIZLIBAG - SOGUTLUCESME ,3,2021,1,11.5,2180990,2172627,0.9961655028221129
CEVIZLIBAG-4.LEVENT,3,2021,1,13.383620689655173,52945,52911,0.9993578241571442
