line,month,year,transport_type_id,transition_hour,number_of_passage,number_of_passenger,intensity
LUNAPARK MEYDANI BUYUK TUR,1,2021,1,13.475806451612904,462,432,0.935064935064935
MACKA - TASKISLA,1,2021,2,13.598445595854924,4986,4115,0.8253108704372242
MAHMUTBEY-GUNESLI-KAZLICESME,1,2021,1,13.243161094224924,20824,20569,0.987754514022282
MALTEPE UNIVERSITESI - MALTEPE METRO / KARTAL,1,2021,1,13.35876288659794,8182,8124,0.9929112686384747
MARMARA EGITIM KOY.- KUCUKYALI METRO,1,2021,1,13.349802371541502,5548,5492,0.9899062725306417
MARMARA EGITIM KOY.- SITELER--MALTEPE,1,2021,1,13.63065693430657,15207,15044,0.9892812520549746
MARMARA EGITIM KOYU-KADIKOY,1,2021,1,11.960869565217392,2059,2046,0.9936862554638174
MARMARA EVLERI - BAKIRKOY,1,2021,1,13.320224719101123,25330,24856,0.9812870114488749
MASLAK GAZETECILER SITESI-4.LEVENT METRO,1,2021,1,12.909090909090908,1397,1390,0.9949892627057981
MASLAK GAZETECILER SITESI-ISTINYE DEREICI-BESIKTAS,1,2021,1,13.713831478537362,6983,6924,0.9915509093512817
MECIDIYEKOY - BASAKSEHIR METROKENT,1,2021,1,13.339861751152071,29082,28718,0.9874836668729798
MECIDIYEKOY - GOKTURK,1,2021,1,14.056818181818182,83819,82454,0.9837149095073909
MECIDIYEKOY-ISTANBUL HAVALIMANI,1,2021,1,11.936530324400564,35056,33447,0.9541020082154268
MEDENIYET UNV.-PENDIK METRO YHT,1,2021,1,13.869281045751634,4061,4000,0.9849790691947796
MEHMET AKIF MAHALLESI - ZEYTINBURNU METRO,1,2021,1,13.527104959630911,35985,35273,0.9802139780464082
MEHMET AKIF MAHALLESI-BAKIRKOY,1,2021,1,13.353433835845896,16631,16418,0.987192592147195
MESCIDI SELAM - BESIKTAS,1,2021,1,13.989655172413793,147021,144106,0.9801729004700008
MESCIDI SELAM-ARNAVUTKOY-ISTANBUL HAVA LIMANI,1,2021,1,12.473134328358208,21398,20467,0.9564912608655014
MEVLANA MAH.-KAYISDAGI-KADIKOY,1,2021,1,13.166666666666666,14165,14012,0.9891987292622662
MIMAR SINAN MAHALLESI - UMRANIYE,1,2021,1,13.210443037974684,12494,12349,0.9883944293260765
MIMARSINAN MH. - TUZLA,1,2021,1,13.626373626373626,6760,6565,0.9711538461538461
MIMARSINAN – I.U.AVCILAR KAMPUSU,1,2021,1,13.657627118644069,109418,104843,0.9581878667129723
MIMARSINAN-AVCILAR METROBUS,1,2021,1,13.350104821802937,7856,7714,0.9819246435845214
NISANTEPE - 4.LEVENT METRO,1,2021,1,13.092682926829267,2920,2888,0.989041095890411
NISANTEPE-YAMANEVLER METRO,1,2021,1,13.23884892086331,11233,11030,0.981928247128995
NUR SITESI-EMINONU,1,2021,1,13.41919191919192,2419,2388,0.9871847871021083
OKAN UNIVERSITESI - PENDIK METRO / PENDIK YHT,1,2021,1,13.964856230031948,5650,5593,0.9899115044247787
OLIMPIYATKOY METRO - SEHIR HASTANESI,1,2021,1,13.214902807775378,26203,25938,0.9898866541999007
OMERLI KIPTAS KONUTLARI-BEYLIKDUZU,1,2021,1,13.429796355841372,42410,41201,0.9714925725064844
ORNEKTEPE -TAKSIM,1,2021,1,13.409930715935335,45245,44341,0.9800198917007404
ORTACESME-KARLIKTEPE,1,2021,1,13.761904761904765,9084,8955,0.9857992073976222
ORTACESME-KAVACIK-CAVUSBASI-UMRANIYE DEV.HST,1,2021,1,13.260590500641849,16205,15938,0.9835236038259796
ORTACESME-UMRANIYE,1,2021,1,14.099555555555556,171195,167368,0.9776453751569847
ORTADAG SAMANDIRA-ALTUNIZADE METROBUS,1,2021,1,13.134556574923549,3961,3943,0.9954556930068165
ORTAKOY-DEREBOYU- TAKSIM,1,2021,1,13.925250683682773,342883,335583,0.9787099389587702
ORTAKOY-KABATAS - YENIKAPI,1,2021,1,13.5,62645,61177,0.9765663660308085
ORTAKOY-USKUDAR,1,2021,3,15.09375,1313,1290,0.9824828636709825
OSMANIYE - EMINONU,1,2021,1,13.052727272727273,7249,7119,0.9820664919299213
PARSELLER MAH-UZUNCAYIR M.BUS-KADIKOY,1,2021,1,14.045045045045043,159872,156685,0.9800653022417934
PASAKOY-BUYUKBAKKALKOY-KARTAL,1,2021,1,12.45643153526971,1934,1926,0.9958634953464323
PASAKOY-YENIDOGAN-YAMANEVLER METRO,1,2021,1,13.79757785467128,9495,9389,0.9888362295945234
PENDIK - MARMARA UNIV. HASTANESI - TAVSANTEPE METRO,1,2021,1,13.492871690427698,4884,4825,0.987919737919738
PENDIK YHT-SABIHA GOKCEN HAVALIMANI,1,2021,1,13.345108695652174,9334,9086,0.9734304692521962
PENDIK YHT-SABIHAGOKCEN HAVALIMANI,1,2021,1,13.512784090909092,5882,5699,0.9688881332879973
